iter	Passed	Remaining
0	358	35485
1	660	32363
2	953	30824
3	1258	30197
4	1540	29275
5	1846	28921
6	2154	28628
7	2464	28336
8	2748	27789
9	3050	27454
10	3357	27161
11	3647	26745
12	3954	26463
13	4245	26077
14	4548	25773
15	4857	25504
16	5172	25253
17	5461	24881
18	5773	24612
19	6073	24294
20	6377	23993
21	6675	23666
22	6961	23304
23	7241	22931
24	7522	22568
25	7827	22277
26	8139	22005
27	8433	21685
28	8716	21340
29	9002	21006
30	9291	20681
31	9601	20403
32	9921	20144
33	10198	19797
34	10463	19432
35	10756	19122
36	11023	18769
37	11311	18454
38	11594	18135
39	11869	17804
40	12147	17480
41	12434	17171
42	12740	16888
43	13025	16578
44	13305	16262
45	13584	15946
46	13883	15656
47	14163	15344
48	14446	15036
49	14730	14730
50	14993	14405
51	15279	14103
52	15555	13794
53	15833	13487
54	16133	13199
55	16402	12887
56	16676	12580
57	16963	12284
58	17246	11984
59	17519	11679
60	17797	11378
61	18058	11067
62	18320	10759
63	18609	10467
64	18906	10180
65	19174	9877
66	19434	9572
67	19706	9273
68	19987	8979
69	20249	8678
70	20519	8381
71	20785	8083
72	21057	7788
73	21328	7493
74	21590	7196
75	21878	6908
76	22149	6616
77	22410	6320
78	22684	6030
79	22957	5739
80	23215	5445
81	23482	5154
82	23748	4864
83	24009	4573
84	24272	4283
85	24537	3994
86	24807	3706
87	25070	3418
88	25331	3130
89	25615	2846
90	25876	2559
91	26161	2274
92	26422	1988
93	26704	1704
94	26963	1419
95	27252	1135
96	27523	851
97	27783	567
98	28058	283
99	28320	0
