iter	Passed	Remaining
0	1121	111015
1	1958	95967
2	2857	92400
3	3815	91571
4	4752	90305
5	5811	91047
6	6806	90432
7	7961	91552
8	9044	91451
9	9946	89520
10	10895	88158
11	11884	87156
12	12782	85541
13	13712	84236
14	14437	81814
15	15093	79239
16	16003	78134
17	16737	76249
18	17594	75007
19	18367	73470
20	19173	72130
21	19933	70674
22	20785	69586
23	21528	68172
24	22476	67428
25	23304	66329
26	24055	65039
27	24781	63723
28	25470	62359
29	26184	61097
30	27084	60285
31	27909	59308
32	28741	58354
33	29588	57436
34	30289	56251
35	31047	55195
36	31779	54111
37	32610	53206
38	33351	52164
39	34136	51205
40	34896	50216
41	35673	49263
42	36524	48416
43	37293	47464
44	38182	46667
45	39014	45799
46	39707	44776
47	40484	43858
48	41259	42943
49	42080	42080
50	42912	41229
51	43579	40227
52	44235	39228
53	44943	38284
54	45755	37436
55	46538	36565
56	47237	35635
57	47905	34689
58	48572	33753
59	49219	32812
60	49986	31958
61	50703	31076
62	51467	30227
63	52543	29555
64	53359	28731
65	54192	27917
66	55066	27122
67	55814	26265
68	56605	25431
69	57314	24563
70	57911	23654
71	58366	22698
72	58861	21770
73	59430	20881
74	59896	19965
75	60432	19084
76	60964	18210
77	61462	17335
78	62021	16486
79	62507	15626
80	63020	14782
81	63467	13931
82	63953	13098
83	64412	12269
84	64883	11449
85	65342	10637
86	65792	9831
87	66284	9038
88	66757	8250
89	67267	7474
90	67733	6698
91	68221	5932
92	68645	5166
93	69114	4411
94	69554	3660
95	70017	2917
96	70452	2178
97	70917	1447
98	71350	720
99	71825	0
